ID,Total Cost per Month,Rental Type,Number of Bedrooms,Postcode,Date Listed,Number of Bathrooms,Number of Living Rooms,Distance to First Public Transport Hub (Miles),First Public Transport Hub Name,Distance to Second Public Transport Hub (Miles),Second Public Transport Hub Name,Cost per Bedroom,Bedrooms to Bathrooms Ratio,Bedrooms to Living Rooms Ratio,Zone
50785792,217.0,Parking Garage,,w14,2019-03-13,,,0.3,Kensington Olympia,0.3,Kensington (Olympia),,,,2
62721687,217.0,Parking Garage,,ec1,2022-10-24,,,0.4,Angel,0.5,Farringdon,,,,1
63376997,217.0,Parking Garage,,ec1,2022-12-01,,,0.4,Angel,0.5,Farringdon,,,,1
62599264,217.0,Parking Garage,,w14,2022-10-07,,,0.0,Kensington (Olympia),0.1,Kensington Olympia,,,,2
62350570,217.0,Parking Garage,,ec1,2022-09-05,,,0.2,Old Street,0.2,Old Street,,,,1
60886582,217.0,Parking Garage,,nw6,2022-03-02,,,0.2,Brondesbury,0.3,Kilburn,,,,2
60102945,225.0,Parking Garage,,sw11,2022-07-07,,,0.2,Nine Elms,0.4,St George Wharf Pier,,,,1
63457152,238.0,Property,0.0,se10,2022-12-13,,,0.1,North Greenwich Pier,0.2,North Greenwich,inf,,,2
62872567,250.0,Property,0.0,se5,2022-11-14,,,0.3,Denmark Hill,0.6,Loughborough Junction,inf,,,2
62783712,250.0,Property,0.0,n1,2022-11-01,,,0.3,Essex Road,0.4,Highbury and Islington,inf,,,2
59689949,250.0,Property,0.0,sw7,2021-09-13,,,0.2,Gloucester Road,0.4,Earl's Court,inf,,,1
52995602,260.0,Parking Garage,,w14,2022-07-07,,,0.2,Kensington Olympia,0.2,Kensington (Olympia),,,,2
51586907,260.0,Property,0.0,w9,2019-05-29,,,0.2,Maida Vale,0.3,Warwick Avenue,inf,,,2
60328828,270.0,Parking Garage,,nw9,2021-12-06,,,0.7,Kingsbury,1.0,Colindale,,,,4
62727026,300.0,Parking Garage,,e14,2022-10-25,,,0.2,Canary Wharf,0.2,South Quay,,,,2
63369568,300.0,Parking Garage,,sw7,2019-04-01,,,0.3,Gloucester Road,0.3,Earl's Court,,,,1
62859799,300.0,Parking Garage,,e1w,2022-11-11,,,0.3,St Katharine's Pier,0.4,Tower Gateway,,,,1
61415867,300.0,Parking Garage,,se1,2022-05-09,,,0.3,St Katharine's Pier,0.3,Tower Millennium Pier,,,,
61415851,300.0,Parking Garage,,w1,2022-05-09,,,0.2,Great Portland Street,0.2,Warren Street,,,,1
62032587,303.0,Parking Garage,,ec1,2022-07-25,,,0.3,Old Street,0.4,Old Street,,,,1
58154324,325.0,Parking Garage,,sw1,2021-07-19,,,0.1,St. James's Park,0.4,Westminster,,,,1
63398947,347.0,Parking Garage,,w14,2022-12-05,,,0.2,Kensington Olympia,0.2,Kensington (Olympia),,,,2
56319879,347.0,Parking Garage,,w8,2022-10-26,,,0.2,Notting Hill Gate,0.4,Holland Park,,,,1
54367366,350.0,Property,0.0,e20,2020-02-25,,,0.3,Hackney Wick,0.6,Stratford International,inf,,,2
54321426,350.0,Property,0.0,e20,2020-02-20,,,0.3,Hackney Wick,0.6,Stratford International,inf,,,2
62728453,350.0,Parking Garage,,e1w,2022-10-25,,,0.4,Shadwell,0.4,St Katharine's Pier,,,,2
63328030,368.0,Parking Garage,,w8,2022-11-25,,,0.4,High Street Kensington,0.4,Gloucester Road,,,,1
63328031,368.0,Parking Garage,,w8,2022-11-25,,,0.4,High Street Kensington,0.4,Gloucester Road,,,,1
63328029,368.0,Parking Garage,,w8,2022-11-25,,,0.4,High Street Kensington,0.4,Gloucester Road,,,,1
61877074,375.0,Parking Garage,,sw7,2022-07-05,,,0.4,Knightsbridge,0.4,South Kensington,,,,1
62952497,380.0,Room to Rent,1.0,n22,2022-11-16,1.0,,0.7,Alexandra Palace,0.8,Bounds Green,380.0,1.0,,3
62021396,390.0,Parking Garage,,w1,2021-07-22,,,0.3,Edgware Road Circle,0.3,Edgware Road Bakerloo,,,,
63353677,400.0,Parking Garage,,e1,2022-11-29,,,0.2,Aldgate East,0.3,Tower Gateway,,,,1
40440069,403.0,Parking Garage,,nw1,2016-05-16,,,0.1,Baker Street,0.2,Marylebone,,,,1
61426734,408.0,Parking Garage,,w1,2022-05-10,,,0.2,Hyde Park Corner,0.4,Green Park,,,,1
63478163,412.0,Property,0.0,sw3,2022-12-16,,,0.2,Cadogan Pier,0.7,South Kensington,inf,,,1
63466113,417.0,Parking Garage,,sw7,2022-12-14,,,0.4,Knightsbridge,0.4,South Kensington,,,,1
61770198,433.0,Parking Garage,,sw1,2022-06-22,,,0.1,London Victoria,0.2,Victoria,,,,1
58131672,433.0,Parking Garage,,w1,2021-07-19,,,0.2,Hyde Park Corner,0.4,Green Park,,,,1
43574686,433.0,Parking Garage,,w11,2022-11-02,,,0.2,Notting Hill Gate,0.4,Holland Park,,,,1
62859212,433.0,Parking Garage,,w14,2022-11-11,,,0.3,Kensington (Olympia),0.4,Kensington Olympia,,,,2
50785664,433.0,Parking Garage,,w14,2019-03-13,,,0.3,Kensington Olympia,0.3,Kensington (Olympia),,,,2
